torque,error,status,nano,time
43.650000000000006,0.0,0.0,336910340.5,2022-12-17 00:02:31
44.8,0.0,0.0,587163105.0,2022-12-17 00:02:32
45.3,0.0,0.0,337353641.0,2022-12-17 00:02:33
42.0,0.0,0.0,336536248.5,2022-12-17 00:02:34
46.2,0.0,0.0,336572041.5,2022-12-17 00:02:35
43.6,0.0,0.0,336499847.0,2022-12-17 00:02:36
43.5,0.0,0.0,336639470.5,2022-12-17 00:02:37
44.8,0.0,0.0,336613510.0,2022-12-17 00:02:38
41.5,0.0,0.0,336591789.0,2022-12-17 00:02:39
44.7,0.0,0.0,336630103.5,2022-12-17 00:02:40
42.65,0.0,0.0,336606012.5,2022-12-17 00:02:41
42.6,0.0,0.0,336835819.5,2022-12-17 00:02:42
44.15,0.0,0.0,336905012.0,2022-12-17 00:02:43
42.400000000000006,0.0,0.0,337023707.0,2022-12-17 00:02:44
43.95,0.0,0.0,337104734.0,2022-12-17 00:02:45
42.8,0.0,0.0,337150162.5,2022-12-17 00:02:46
42.6,0.0,0.0,336901980.5,2022-12-17 00:02:47
43.75,0.0,0.0,336731739.5,2022-12-17 00:02:48
41.95,0.0,0.0,336632855.5,2022-12-17 00:02:49
43.15,0.0,0.0,336658682.0,2022-12-17 00:02:50
43.5,0.0,0.0,336742227.0,2022-12-17 00:02:51
41.45,0.0,0.0,336667046.0,2022-12-17 00:02:52
44.05,0.0,0.0,336629093.5,2022-12-17 00:02:53
42.95,0.0,0.0,336750013.0,2022-12-17 00:02:54
42.5,0.0,0.0,336926343.0,2022-12-17 00:02:55
45.0,0.0,0.0,336936152.0,2022-12-17 00:02:56
41.5,0.0,0.0,337057659.5,2022-12-17 00:02:57
44.9,0.0,0.0,337001261.5,2022-12-17 00:02:58
42.35,0.0,0.0,337717706.0,2022-12-17 00:02:59
42.7,0.0,0.0,337748106.5,2022-12-17 00:03:00
44.95,0.0,0.0,336864058.0,2022-12-17 00:03:01
41.6,0.0,0.0,336717287.0,2022-12-17 00:03:02
43.95,0.0,0.0,336673704.0,2022-12-17 00:03:03
42.8,0.0,0.0,336795054.5,2022-12-17 00:03:04
42.3,0.0,0.0,336830554.0,2022-12-17 00:03:05
44.05,0.0,0.0,336759559.5,2022-12-17 00:03:06
42.150000000000006,0.0,0.0,336838247.5,2022-12-17 00:03:07
43.0,0.0,0.0,336868969.0,2022-12-17 00:03:08
43.5,0.0,0.0,336911144.0,2022-12-17 00:03:09
42.7,0.0,0.0,86979428.0,2022-12-17 00:03:10
44.400000000000006,0.0,0.0,337099938.0,2022-12-17 00:03:11
43.15,0.0,0.0,337202260.0,2022-12-17 00:03:12
41.9,0.0,0.0,337310853.5,2022-12-17 00:03:13
43.95,0.0,0.0,337336766.0,2022-12-17 00:03:14
41.05,0.0,0.0,336878836.0,2022-12-17 00:03:15
43.6,0.0,0.0,336846195.5,2022-12-17 00:03:16
42.5,0.0,0.0,336836625.0,2022-12-17 00:03:17
41.2,0.0,0.0,336904710.5,2022-12-17 00:03:18
44.65,0.0,0.0,336882029.0,2022-12-17 00:03:19
40.75,0.0,0.0,336916037.0,2022-12-17 00:03:20
43.8,0.0,0.0,336932129.5,2022-12-17 00:03:21
42.4,0.0,0.0,337019484.0,2022-12-17 00:03:22
41.900000000000006,0.0,0.0,337096304.5,2022-12-17 00:03:23
44.75,0.0,0.0,337185285.0,2022-12-17 00:03:24
41.25,0.0,0.0,337217005.5,2022-12-17 00:03:25
43.9,0.0,0.0,337206177.5,2022-12-17 00:03:26
42.6,0.0,0.0,337905828.0,2022-12-17 00:03:27
42.2,0.0,0.0,337629818.0,2022-12-17 00:03:28
43.65,0.0,0.0,337570263.5,2022-12-17 00:03:29
41.7,0.0,0.0,337013021.0,2022-12-17 00:03:30
42.900000000000006,0.0,0.0,336958521.5,2022-12-17 00:03:31
42.85,0.0,0.0,336963038.5,2022-12-17 00:03:32
41.6,0.0,0.0,336941057.5,2022-12-17 00:03:33
43.1,0.0,0.0,337066215.5,2022-12-17 00:03:34
42.3,0.0,0.0,336999194.0,2022-12-17 00:03:35
41.95,0.0,0.0,337052738.0,2022-12-17 00:03:36
43.400000000000006,0.0,0.0,337217765.5,2022-12-17 00:03:37
41.900000000000006,0.0,0.0,337270270.5,2022-12-17 00:03:38
43.3,0.0,0.0,337872282.0,2022-12-17 00:03:39
42.3,0.0,0.0,337407413.0,2022-12-17 00:03:40
41.55,0.0,0.0,338005632.5,2022-12-17 00:03:41
44.0,0.0,0.0,337307254.5,2022-12-17 00:03:42
40.75,0.0,0.0,336978432.5,2022-12-17 00:03:43
43.3,0.0,0.0,337068567.0,2022-12-17 00:03:44
43.150000000000006,0.0,0.0,337019915.5,2022-12-17 00:03:45
41.25,0.0,0.0,337094282.0,2022-12-17 00:03:46
44.400000000000006,0.0,0.0,337068827.5,2022-12-17 00:03:47
41.55,0.0,0.0,337059778.5,2022-12-17 00:03:48
43.35,0.0,0.0,337144832.0,2022-12-17 00:03:49
